"GameID","Date","Competition","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","ModerateMistakes","Corner_Mistakes","Yellow_Mistakes","Total_Goals","Total_Shots","Total_Shots_On_Target","Total_Fouls","Total_Corners","Total_Yellow_Cards","Total_Red_Cards"
"20220101ARSMAN",2022-01-01,"England Premier League","Arsenal","Man City",1,2,"A",7,15,2,2,13,5,5,5,3,2,1,0,0,0,0,3,22,4,18,10,5,1
"20220101WATTOT",2022-01-01,"England Premier League","Watford","Tottenham",0,1,"A",6,21,4,9,6,9,3,7,0,1,0,0,0,0,0,1,27,13,15,10,1,0
"20220101CRYWES",2022-01-01,"England Premier League","Crystal Palace","West Ham",2,3,"A",22,10,6,5,6,16,9,1,0,2,0,0,0,0,0,5,32,11,22,10,2,0
"20220102BREAST",2022-01-02,"England Premier League","Brentford","Aston Villa",2,1,"H",10,16,4,5,17,11,3,7,2,2,0,0,0,0,0,3,26,9,28,10,4,0
"20220102EVEBRI",2022-01-02,"England Premier League","Everton","Brighton",2,3,"A",17,12,6,5,5,12,8,5,1,1,0,0,0,0,0,5,29,11,17,13,2,0
"20220102LEEBUR",2022-01-02,"England Premier League","Leeds","Burnley",3,1,"H",22,8,7,2,11,7,9,3,2,1,0,0,0,0,0,4,30,9,18,12,3,0
"20220102CHELIV",2022-01-02,"England Premier League","Chelsea","Liverpool",2,2,"D",15,10,6,6,5,13,6,7,1,2,0,0,0,0,0,4,25,12,18,13,3,0
"20220103MANWOL",2022-01-03,"England Premier League","Man United","Wolves",0,1,"A",9,19,2,6,9,8,3,8,3,1,0,0,0,0,0,1,28,8,17,11,4,0
"20220111SOUBRE",2022-01-11,"England Premier League","Southampton","Brentford",4,1,"H",12,5,6,4,9,8,5,2,0,1,0,0,0,0,0,5,17,10,17,7,1,0
"20220112WESNOR",2022-01-12,"England Premier League","West Ham","Norwich",2,0,"H",13,7,5,3,9,8,11,2,0,0,0,0,0,0,0,2,20,8,17,13,0,0
"20220114BRICRY",2022-01-14,"England Premier League","Brighton","Crystal Palace",1,1,"D",19,3,4,1,11,7,9,0,0,2,0,0,0,0,0,2,22,5,18,9,2,0
"20220115MANCHE",2022-01-15,"England Premier League","Man City","Chelsea",1,0,"H",11,4,6,1,11,6,9,1,0,2,0,0,0,0,0,1,15,7,17,10,2,0
