"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Season"
"SC0","14/08/10","Aberdeen","Hamilton",4,0,"H",2,0,"H","D McDonald",7,10,3,3,22,12,4,5,1,1,0,0,"2010/11"
"SC0","14/08/10","Hearts","St Johnstone",1,1,"D",1,1,"D","S O'Reilly",8,6,1,3,12,12,9,4,2,2,0,1,"2010/11"
"SC0","14/08/10","Inverness C","Celtic",0,1,"A",0,0,"D","C Murray",8,22,3,15,11,7,1,12,0,0,0,0,"2010/11"
"SC0","14/08/10","Rangers","Kilmarnock",2,1,"H",1,0,"H","W Collum",20,7,12,3,14,8,12,6,0,1,0,0,"2010/11"
"SC0","14/08/10","St Mirren","Dundee United",1,1,"D",0,0,"D","B Winter",3,14,2,5,11,15,4,11,2,3,0,0,"2010/11"
"SC0","15/08/10","Motherwell","Hibernian",2,3,"A",1,1,"D","C Thomson",15,15,10,10,8,13,5,7,0,2,0,0,"2010/11"
"SC0","21/08/10","Hamilton","Hearts",0,4,"A",0,2,"A","S Finnie",2,8,1,4,14,11,7,6,1,2,1,1,"2010/11"
"SC0","21/08/10","St Johnstone","Aberdeen",0,1,"A",0,0,"D","S McLean",6,9,2,4,15,14,5,4,2,3,0,0,"2010/11"
"SC0","22/08/10","Celtic","St Mirren",4,0,"H",2,0,"H","E Norris",16,1,8,1,7,6,12,0,1,2,0,0,"2010/11"
"SC0","22/08/10","Dundee United","Inverness C",0,4,"A",0,1,"A","A Muir",5,9,3,6,7,8,9,4,0,0,0,0,"2010/11"
"SC0","22/08/10","Hibernian","Rangers",0,3,"A",0,0,"D","I Brines",11,9,7,7,17,12,4,5,2,2,1,1,"2010/11"
"SC0","22/08/10","Kilmarnock","Motherwell",0,1,"A",0,1,"A","M Tumilty",8,3,2,3,7,20,9,2,2,3,0,0,"2010/11"
"SC0","28/08/10","Aberdeen","Kilmarnock",0,1,"A",0,0,"D","B Winter",10,19,5,12,6,9,6,6,1,1,0,0,"2010/11"
"SC0","28/08/10","Inverness C","Hamilton",0,1,"A",0,1,"A","J McKendrick",2,8,1,4,13,14,6,5,2,1,0,0,"2010/11"
"SC0","28/08/10","Rangers","St Johnstone",2,1,"H",1,1,"D","C Murray",15,6,10,3,13,14,1,3,3,2,0,0,"2010/11"
"SC0","29/08/10","Hearts","Dundee United",1,1,"D",1,0,"H","C Thomson",14,7,7,5,14,13,8,9,1,2,0,0,"2010/11"
"SC0","29/08/10","Motherwell","Celtic",0,1,"A",0,0,"D","D McDonald",5,18,2,6,11,13,3,5,1,2,1,0,"2010/11"
"SC0","29/08/10","St Mirren","Hibernian",1,0,"H",0,0,"D","S O'Reilly",4,7,2,1,11,13,0,5,3,1,0,0,"2010/11"
"SC0","11/09/10","Celtic","Hearts",3,0,"H",2,0,"H","W Collum",12,6,8,3,10,12,3,4,0,1,0,0,"2010/11"
"SC0","11/09/10","Dundee United","Aberdeen",3,1,"H",3,1,"H","M Tumilty",7,4,4,4,8,14,9,10,0,4,0,0,"2010/11"
"SC0","11/09/10","Hamilton","Rangers",1,2,"A",0,1,"A","A Muir",6,7,3,6,17,18,4,6,2,2,0,0,"2010/11"
"SC0","11/09/10","Hibernian","Inverness C",1,1,"D",1,0,"H","C Allan",9,11,4,2,11,6,5,7,2,1,0,0,"2010/11"
"SC0","11/09/10","Kilmarnock","St Mirren",2,1,"H",1,0,"H","S McLean",22,6,8,2,8,11,5,4,1,2,0,1,"2010/11"
"SC0","11/09/10","St Johnstone","Motherwell",0,2,"A",0,2,"A","I Brines",6,6,1,2,13,10,7,1,0,0,0,0,"2010/11"
"SC0","18/09/10","Hibernian","Hamilton",1,1,"D",1,1,"D","E Norris",8,6,3,3,13,12,5,8,1,1,0,0,"2010/11"
"SC0","18/09/10","Inverness C","Hearts",1,3,"A",1,1,"D","I Brines",11,11,8,8,11,9,5,9,2,2,0,0,"2010/11"
