"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Season","Competition","Country","Year"
"E0",2022-01-01,"Arsenal","Man City",1,2,"A",1,0,"H","S Attwell",7,15,2,2,13,5,5,5,3,2,1,0,"2021/22","England Premier League","England",2022
"E0",2022-01-01,"Watford","Tottenham",0,1,"A",0,0,"D","R Jones",6,21,4,9,6,9,3,7,0,1,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-01,"Crystal Palace","West Ham",2,3,"A",0,3,"A","D England",22,10,6,5,6,16,9,1,0,2,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-02,"Brentford","Aston Villa",2,1,"H",1,1,"D","C Pawson",10,16,4,5,17,11,3,7,2,2,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-02,"Everton","Brighton",2,3,"A",0,2,"A","J Brooks",17,12,6,5,5,12,8,5,1,1,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-02,"Leeds","Burnley",3,1,"H",1,0,"H","P Tierney",22,8,7,2,11,7,9,3,2,1,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-02,"Chelsea","Liverpool",2,2,"D",2,2,"D","A Taylor",15,10,6,6,5,13,6,7,1,2,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-03,"Man United","Wolves",0,1,"A",0,0,"D","M Dean",9,19,2,6,9,8,3,8,3,1,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-11,"Southampton","Brentford",4,1,"H",2,1,"H","S Attwell",12,5,6,4,9,8,5,2,0,1,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-12,"West Ham","Norwich",2,0,"H",1,0,"H","S Hooper",13,7,5,3,9,8,11,2,0,0,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-14,"Brighton","Crystal Palace",1,1,"D",0,0,"D","R Jones",19,3,4,1,11,7,9,0,0,2,0,0,"2021/22","England Premier League","England",2022
"E0",2022-01-15,"Man City","Chelsea",1,0,"H",0,0,"D","C Pawson",11,4,6,1,11,6,9,1,0,2,0,0,"2021/22","England Premier League","England",2022
